id,devicetype,macaddress,regtime,name,location,configtime,updatetime,repeaterid,deviceconfigrequired
85,repeater-node,84:CC:A8:88:7A:78,"2023-02-08 20:49:07",R2,"Cognifront Lab","2023-02-09 09:50:06","2023-02-09 10:15:59",95,0
86,sensor-node,30:83:98:80:04:84,"2023-02-08 20:51:04",S2,"Cognifront Lab","2023-02-09 09:51:02","2023-02-09 10:10:38",88,0
87,sensor-node,5C:CF:7F:57:26:FE,"2023-02-08 20:56:44",S1,"Cognifront Lab","2023-02-08 21:04:18","2023-02-09 10:10:31",88,0
88,repeater-node,C4:5B:BE:70:D0:A2,"2023-02-08 21:01:29",R1,"Cognifront Lab","2023-02-09 09:49:58","2023-02-09 09:52:52",85,0
89,coordinator-node,A4:CF:12:C7:96:B7,"2023-02-08 21:02:52",Coordinator,,"2023-02-08 21:02:52","2023-02-08 21:02:52",-1,0
90,coordinator-node,A4:CF:12:C7:92:85,"2023-02-08 21:02:56",Coordinator,,"2023-02-08 21:02:56","2023-02-08 21:02:56",-1,0
91,repeater-node,A4:CF:12:C7:88:B7,"2023-02-09 09:47:36",R6,"Cognifront Lab","2023-02-09 09:50:31","2023-02-09 09:51:35",93,0
92,repeater-node,A4:CF:12:C7:EF:50,"2023-02-09 09:47:40",R5,"Cognifront Lab","2023-02-09 09:50:26","2023-02-09 09:51:26",91,0
93,repeater-node,A4:CF:12:C7:DF:5F,"2023-02-09 09:48:19",R7,"Cognifront Lab","2023-02-09 09:50:43","2023-02-09 09:51:16",89,0
94,repeater-node,A4:CF:12:C7:DD:C4,"2023-02-09 09:48:52",R4,"Cognifront Lab","2023-02-09 09:50:22","2023-02-09 09:51:50",92,0
95,repeater-node,A4:CF:12:C7:E6:D9,"2023-02-09 09:48:59",R3,"Cognifront Lab","2023-02-09 09:50:17","2023-02-09 09:52:18",94,0
